sample_id,setting_id,author1_accuracy,author2_accuracy,consensus_accuracy,accuracy_agreement,author1_detail,author2_detail,consensus_detail,detail_agreement
11,3,Partial,Not Meet,Partial,False,Partial,Not Meet,Partial,False
11,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
11,5,Not Meet,Not Meet,Not Meet,True,Meets,Partial,Meets,False
12,1,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
12,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
12,3,Not Meet,Not Meet,Not Meet,True,Not Meet,Meets,Partial,False
12,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
12,5,Not Meet,Not Meet,Not Meet,True,Partial,Partial,Partial,True
13,1,Partial,Not Meet,Partial,False,Meets,Not Meet,Partial,False
13,2,Partial,Not Meet,Partial,False,Not Meet,Not Meet,Not Meet,True
13,3,Meets,Not Meet,Partial,False,Partial,Not Meet,Partial,False
13,4,Partial,Not Meet,Partial,False,Partial,Not Meet,Partial,False
13,5,Partial,Not Meet,Partial,False,Meets,Not Meet,Partial,False
14,1,Partial,Partial,Partial,True,Partial,Partial,Partial,True
14,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
14,3,Partial,Partial,Partial,True,Partial,Partial,Partial,True
14,4,Partial,Not Meet,Partial,False,Not Meet,Not Meet,Not Meet,True
14,5,Partial,Partial,Partial,True,Partial,Partial,Partial,True
15,1,Not Meet,Not Meet,Not Meet,True,Not Meet,Partial,Partial,False
15,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Partial,Partial,False
15,3,Not Meet,Not Meet,Not Meet,True,Partial,Partial,Partial,True
15,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Partial,Partial,False
15,5,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
16,1,Partial,Partial,Partial,True,Meets,Meets,Meets,True
16,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Partial,Partial,False
16,3,Partial,Partial,Partial,True,Meets,Meets,Meets,True
16,4,Partial,Partial,Partial,True,Partial,Meets,Meets,False
16,5,Partial,Partial,Partial,True,Meets,Meets,Meets,True
17,1,Partial,Partial,Partial,True,Not Meet,Meets,Partial,False
17,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Partial,Partial,False
17,3,Meets,Meets,Meets,True,Meets,Meets,Meets,True
17,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Partial,Partial,False
17,5,Meets,Meets,Meets,True,Meets,Meets,Meets,True
18,1,Not Meet,Not Meet,Not Meet,True,Partial,Not Meet,Partial,False
18,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
18,3,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
18,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
18,5,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
19,2,Partial,Not Meet,Partial,False,Not Meet,Not Meet,Not Meet,True
19,3,Partial,Not Meet,Partial,False,Meets,Meets,Meets,True
19,4,Partial,Partial,Partial,True,Partial,Partial,Partial,True
19,5,Meets,Partial,Meets,False,Meets,Meets,Meets,True
20,1,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
20,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
20,3,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
20,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
20,5,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
21,1,Partial,Not Meet,Partial,False,Partial,Partial,Partial,True
21,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
21,3,Partial,Not Meet,Partial,False,Partial,Not Meet,Partial,False
21,4,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
21,5,Not Meet,Not Meet,Not Meet,True,Partial,Meets,Meets,False
22,1,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
22,2,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
22,3,Not Meet,Not Meet,Not Meet,True,Not Meet,Not Meet,Not Meet,True
22,4,Partial,Not Meet,Partial,False,Partial,Not Meet,Partial,False
22,5,Not Meet,Not Meet,Not Meet,True,Partial,Not Meet,Partial,False
