Repository Name,Token Count
nightingaleproject_Reference-Client,12688
dwt0317_Search_Adserver,12601
qaware_cloud-native-weather-javaee,12581
hyper-prog_hasses,12630
nrephi_jupyter-spark-hadoop-docker,12622
IBM_datastax-cassandra-clickstream,12579
afonsocastro_larcc_interface,12537
gcba-iris_iris,12419
hyeonsangjeon_AWS-LLM-SageMaker,12670
ankithans_codeX,12521
marklogic_cloud-enablement-aws,12496
fecgov_fec-eregs,12652
jes_autopatzer,12792
blockchain-signaling-system_bloss-core,12649
dich1_bookshelf-web,12425
SpektraSystems_CloudLabs-Azure,12264
Bytom-Community_Bytom-Server,12988
mbotarro_unijobs,12692
Melacon_WirelessTransportEmulator,12993
unnmdnwb3_dora,12430
eProsima_Integration-Service,12937
marmarek_qubes-app-u2f,12583
zmyzheng_TweetMap,12527
DevOps-Represent_devopsgirls-bootcamp-cn-2,12416
matryx_MatryxPlatform,12742
NeuralDev-io_arclytics_simcct,12946
NicoJuicy_Airline-Microservices,12539
kpantos_Azure-How-To,12410
libremfg_getting-started,12876
coverage-robot_core,12893
usds_justice40-tool,12715
gustavung_Graphrec,12554
hamzatugrul_surl,12711
staples-sparx_Wonko,12517
Cpanchal1_Chatbot101-with-AWS-Lambda,12172
davidlandry93_glo4001,12685
dowjones_hammer,12542
IBM_ios-mapkit-indoor-map,12502
onlybakam_reinvent2022-vote-app,12492
thill_kafkacap,12468
fredrikhgrelland_data-mesh,12694
gregoryjohnsonjg6_angular-dotnet-core-docker,12492
batatero_arquiteturaPHP00,13096
Speccy-Rom_SpeccyTV,12475
RunnersHi_RunnersHi_Server,12554
decentraland_catalyst,13017
DanNguyenN_CompassUTD,12785
dsc-sookmyung_2023-mention-all-SolutionChallenge,12578
zalando-incubator_fabric-gateway,12578
apigee_consumer-data-standards-au,12893
today-real-estate_today-real-estate_front-end,12469
mebaysan_Modern-Data-Architecture,12397
anjuchamantha_EMonitor,12694
zwt-sdk_zwt,12592
YW-Ma_Algorithms-Visualizer,12956
alanchn31_Movalytics-Data-Warehouse,12694
Scientific-Computing-Lab-NRCN_compar,12978
matrix-io_matrix-malos-zwave,12765
nikmis_xentrace-analysis,12623
AmnisIO_AmnisIO,12439
bianjieai_tibc,12562
sugarlabs_musicblocks-v4-lib,12404
leopardslab_gocloud,13001
aws-solutions_automated-security-response-on-aws,12827
codahale_sneaker,12338
emreturgutce_stock-management,12289
chirgjin_track-my-events,12638
jun108059_Elasticsearch-SpringBoot,12458
onprem_foundry,12615
philipplackner_IvyWallet-PL_Version,12906
michaelsrichter_azure.owasp,12966
IBM_vpc-flowlogs-log-analysis,12283
NatalieLouise91_T3A2-Skemi-FrontEnd,12461
kerollesroshdi_Cima-,12913
takoko55_LectureLens,12447
googleinterns_typescript-flag-upgrade,12333
solenya-group_solenya,12501
23fa-cpsc490_canyough,12754
Resurgence-VM-Development_Resurgence,12514
thangchung_practical-dapr,12341
YashwantChauhan_SDL,12572
hrchlhck_k8s-bigdata,12797
XenitAB_git-auth-proxy,12539
ut-ims-robotics_robotont,12567
anvasquezre_sabiduria_asegurada_experiments,12617
jzyong_GameServer4g,12579
argrecsys_argael,12973
terrenjpeterson_javawatch,12409
Crazy0416_KnowledgeGraph,12423
Taymindis_fcgi-function,12537
McOrts_taller-iot-sensor_radiactividad,12357
UBC-CIC_Student-Connect-App,12596
xydo1990_mlops_zoomcamp_homework,12634
UnoSD_UnoCash,12887
david3107_squatm3gator,12853
iceland2k14_Kangrand,12757
SV-97_HumanResourceMachine,12517
caraml-dev_turing,12535
doitintl_banias,12357
numerica-ideas_ni-microservice-nodejs,12572
gabrielfarah_OpenHub,12557
elpapi42_deep-deblurring,12293
jkahn117_aws-news,12495
meshery_meshery,12691
duanfuxiang0_MysqlMigrationTool,12460
Connor1996_Pokemon,12626
awslabs_benchmark-ai,12853
gaiax_fLibra,12503
oracle-quickstart_oci-confluent,12423
jlhood_retweet-leaderboard,12620
bluekiri_mlab,13031
mcuking_offline-package-webpack-plugin,12234
codestates_BEB-05-LeeSea,12686
LouisvilleMetro_WazeCCPProcessor,12487
KMuthumala_ESP32-BLE-Beaconing,12559
DecenterApps_ResistanceProtocol,12608
llvm_torch-mlir,12928
lowtalkers_escape-reality,12196
whtngus_whtngus.github.io,11717
IBM_customer-sentiment-on-seller-quality-nlu-cp4d,12236
cap-ntu_Video-to-Retail-Platform,12668
zoolhelmy_ESP8266-Weather-Station,12479
gray-panda_grayrepo,12781
