Agent_claude_LLM_Clarity_Rating,Agent_claude_LLM_Completeness_Rating,Agent_claude_LLM_Consistency_Rating,Agent_claude_PSNR,Agent_claude_RMSE,Agent_claude_SAM,Agent_claude_SRE,Agent_claude_SSIM,Agent_claude_UIQ,Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3296,0.0171,89.8536,57.8314,0.6098,0.0006,boxes_and_arrows,P2P,entire+,static,2WAY_Design,y,"DBs, APIs, sub-systems",general,bi,data_flow,n,y,n,high,n,n,,"maintainability, security",2WAY/Design,"rectangles, cylinders",NA,https://github.com/2WAY/Design/,578
Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.6531,0.0131,89.3062,58.4445,0.5677,-0.0005,"icons_and_arrows, boxes",event-driven,entire+,"static, dynamic",microsoft_azure-realtime-fraud-detection,y,"DBs, technologies","deployment, performance","uni, bi",data_flow,n,y,n,high,n,y,,"performance_efficiency, functional_suitability",microsoft/azure-realtime-fraud-detection,"rectangles, icons",azure,https://github.com/microsoft/azure-realtime-fraud-detection/,729
Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6095,0.0132,88.3095,62.3708,0.5391,-0.0002,"icons_and_arrows, boxes",publish-subscribe,entire,static,lkravi_kube8aws,y,"technologies, network_components","deployment, connectivity",uni,communication,n,y,n,medium,n,y,,"maintainability, reliability",lkravi/kube8aws,"rectangles, squares, icons","aws, kubernetes",https://github.com/lkravi/kube8aws/,863
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5330,0.0149,88.6287,59.2300,0.4507,0.0026,boxes,layered,entire+,static,MyEMS_myems,n,"layers, containers, functions",general,NA,NA,n,n,n,medium,n,y,,"maintainability, security",MyEMS/myems,rectangles,"kubernetes, docker, apache",https://github.com/MyEMS/myems/,1277
Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9285,0.0142,89.8986,59.9982,0.6604,-0.0026,boxes_and_arrows,client-server,entire,dynamic,kineviz-3D-human-pose-tracking_3d-ai-powered-pose-tracking,y,"servers, APIs, technologies",control_flow,uni,data_flow,n,y,n,high,y,y,,maintainability,kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking,"rectangles, circles","nodejs, socket.io, graphxr",https://github.com/kineviz-3D-human-pose-tracking/3d-ai-powered-pose-tracking/,729
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4569,0.0169,89.7099,56.4522,0.4505,-0.0008,"icons_and_arrows, boxes",client-server,entire,dynamic,avarghesein_ActiveX.NET,y,"clients, servers, packages",deployment,uni,control_flow,text,y,n,high,n,y,,interaction_capability,avarghesein/ActiveX.NET,"rectangles, icons",NA,https://github.com/avarghesein/ActiveX.NET/,990
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5699,0.0132,89.9489,60.6681,0.6210,-0.0009,boxes_and_arrows,publish-subscribe,entire,dynamic,leekoko_Java-Web,y,sub-systems,control_flow,uni,control_flow,n,y,n,high,y,n,,functional_suitability,leekoko/Java-Web,rectangles,NA,https://github.com/leekoko/Java-Web/,1095
Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.7712,0.0115,89.6674,60.5207,0.5895,0.0010,"boxes_and_arrows, icons_and_arrows",client-server,entire,static,oracle-quickstart_oci-jenkins,y,network_components,"deployment, connectivity, performance","uni, bi",communication,n,y,n,medium,n,y,,"maintainability, performance_efficiency, reliability",oracle-quickstart/oci-jenkins,"squares, icons",oracle,https://github.com/oracle-quickstart/oci-jenkins/,1071
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2627,0.0122,89.8370,66.9615,0.8084,-0.0000,boxes_and_arrows,layered,entire,dynamic,Neighbor-Army_help-with-covid,n,"layers, functions",control_flow,uni,control_flow,n,y,n,high,n,y,manual sketch,"functional_suitability, interaction_capability",Neighbor-Army/help-with-covid,squares,"twilio, nextjs, onfleet",https://github.com/neighbor-army/help-with-covid/,1153
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,boxes_and_arrows,publish-subscribe,entire+,dynamic,GoogleCloudPlatform_gke-pubsub-websocket-adapter,y,technologies,connectivity,"uni, bi","communication, function_calls",n,y,y,medium,n,y,,maintainability,GoogleCloudPlatform/gke-pubsub-websocket-adapter,"rectangles, icons","google, websocketd, pulltop",https://github.com/GoogleCloudPlatform/gke-pubsub-websocket-adapter/,909
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7050,0.0116,89.6277,60.0715,0.6032,-0.0026,"icons_and_arrows, boxes","client-server, event-driven",part,dynamic,pagopa_pn-infra,y,"functions, APIs, clients",control_flow,"uni, bi",control_flow,text,y,n,medium,n,y,,"functional_suitability, interaction_capability",pagopa/pn-infra,"rectangles, icons",aws,https://github.com/pagopa/pn-infra/,1807
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2263,0.0123,89.1366,60.1312,0.7289,0.0010,icons_and_arrows,SOA,entire,dynamic,chrispiro_deploy_plotly_app_on_gcp,y,technologies,deployment,uni,control_flow,n,y,n,high,n,n,,maintainability,chrispiro/deploy_plotly_app_on_gcp,icons,google,https://github.com/chrispiro/deploy_plotly_app_on_gcp/,822
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2556,0.0122,89.9299,63.6819,0.6891,0.0006,icons_and_arrows,NA,entire,dynamic,ashavijit_Face-Find,y,"APIs, DBs, clients",control_flow,uni,control_flow,text,y,n,high,n,n,,interaction_capability,ashavijit/Face-Find,icons,NA,https://github.com/ashavijit/Face-Find/,1192
Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.6030,0.0132,89.9183,57.6761,0.5095,0.0006,boxes_and_arrows,"client-server, SOA",entire+,static,Activiti_activiti-7-developers-guide,y,"technologies, services",deployment,"uni, bi",communication,n,y,n,medium,n,y,,"maintainability, security",Activiti/activiti-7-developers-guide,rectangles,"kubernetes, keycloak",https://github.com/Activiti/activiti-7-developers-guide/,1018
Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,40.0058,0.0100,89.9559,58.7710,0.5924,-0.0007,boxes_and_arrows,NA,entire,static,cordon-thiago_airflow-spark,y,"containers, DBs",deployment,"uni, bi",data_flow,n,y,n,high,n,n,,maintainability,cordon-thiago/airflow-spark,"rectangles, cylinders, icons","postgresql, apache, jupyter",https://github.com/cordon-thiago/airflow-spark/,1079
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.2732,0.0193,89.0518,56.0820,0.4599,-0.0032,boxes_and_arrows,NA,part,dynamic,IBM_torc_py,y,servers,scheduling,uni,control_flow,n,y,n,low,n,y,,flexibility,IBM/torc_py,"rectangles, circles",NA,https://github.com/IBM/torc_py/,989
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4786,0.0106,89.8816,58.4974,0.5027,-0.0019,boxes_and_arrows,"event-driven, SOA",entire,static,kansiris_Angular-Interview-Questions-Answers,y,sub-systems,general,uni,data_flow,n,y,n,high,n,y,,maintainability,kansiris/Angular-Interview-Questions-Answers,"rectangles, icons",NA,https://github.com/kansiris/Angular-Interview-Questions-Answers/,536
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4005,0.0151,89.4366,55.8169,0.6247,0.0011,icons_and_arrows,client-server,part,static,SimonLdj_hypnolog-server,y,servers,connectivity,uni,data_flow,n,y,n,high,n,n,,maintainability,SimonLdj/hypnolog-server,"circles, icons",NA,https://github.com/SimonLdj/hypnolog-server/,1029
Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.6644,0.0117,89.9101,58.7950,0.3879,-0.0018,boxes_and_arrows,NA,entire,static,chaitin_veinmind-tools,y,"sub-systems, containers",deployment,"uni, bi",communication,n,y,n,high,n,y,,maintainability,chaitin/veinmind-tools,"rectangles, squares","kubernetes, docker",https://github.com/chaitin/veinmind-tools/,1038
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.2230,0.0488,88.9017,42.7206,0.1759,0.0007,boxes,layered,entire,static,IceFireDB_IceFireDB,y,"DBs, layers",general,NA,NA,text,n,n,high,n,y,blockchain,maintainability,IceFireDB/IceFireDB,rectangles,icefiredb,https://github.com/IceFireDB/IceFireDB/,1053
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7439,0.0130,88.3109,58.0522,0.6018,0.0025,boxes_and_arrows,microservices,entire+,static,ebu_PlugIt,n,"DBs, services",connectivity,"uni, bi, no",communication,n,y,y,high,y,y,,"maintainability, flexibility, compatibility",ebu/PlugIt,"rectangles, cylinders",NA,https://github.com/ebu/PlugIt/,773
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.1965,0.0219,85.0482,57.7912,0.5920,-0.0003,"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,CMUChimpsLab_Peekaboo,y,"sub-systems, functions",control_flow,uni,data_flow,"text, code_snippet",y,n,medium,n,n,,functional_suitability,CMUChimpsLab/Peekaboo,"rectangles, icons",NA,https://github.com/CMUChimpsLab/Peekaboo/,1222
Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1980,0.0138,89.3066,62.1249,0.7164,0.0000,boxes_and_arrows,client-server,entire+,static,greatfarmer_fifarm,y,"DBs, clients, servers, APIs, technologies",deployment,bi,communication,n,y,n,high,n,y,,maintainability,greatfarmer/fifarm,"rectangles, cylinders, icons","google, github, jenkins, nginx, mongodb",https://github.com/greatfarmer/fifarm/,878
Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,32.9791,0.0224,89.6503,60.9321,0.6995,-0.0000,boxes_and_arrows,event-driven,entire,dynamic,andersonkmi_credit-card-bindb-service-aws,y,"APIs, DBs, functions",control_flow,uni,data_flow,n,y,n,high,n,n,manual sketch,"maintainability, functional_suitability",andersonkmi/credit-card-bindb-service-aws,"rectangles, cylinders, icons",aws,https://github.com/andersonkmi/credit-card-bindb-service-aws/,598
Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.6397,0.0131,89.1769,60.3239,0.6886,0.0002,boxes_and_arrows,client-server,entire,static,lovasoa_SuperLogger,y,"servers, sub-systems, technologies",connectivity,uni,communication,code_snippet,y,y,medium,n,n,,maintainability,lovasoa/SuperLogger,rectangles,"elasticsearch, kibana",https://github.com/lovasoa/SuperLogger/,667
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9432,0.0142,89.9386,59.3625,0.6690,0.0026,boxes_and_arrows,layered,entire,dynamic,qunarcorp_m_adr_qapm_open_source,y,"APIs, sub-systems, functions",control_flow,uni,control_flow,n,y,n,medium,n,y,,"maintainability, functional_suitability",qunarcorp/m_adr_qapm_open_source,rectangles,NA,https://github.com/qunarcorp/m_adr_qapm_open_source/,1057
Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,boxes_and_arrows,microservices,entire,static,kzh_noob,y,"containers, sub-systems, servers, DBs",deployment,no,data_flow,n,y,n,high,n,y,,maintainability,kzh/noob,"rectangles, icons","rabbitmq, docker, kubernetes, nginx, redis, mongodb",https://github.com/kzh/noob/,900
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8662,0.0128,89.5536,61.5935,0.6955,0.0027,boxes_and_arrows,SOA,entire+,dynamic,SocialGouv_archifiltre-docs,y,"technologies, services","deployment, data_flow","uni, bi",data_flow,n,y,n,high,n,n,,maintainability,SocialGouv/archifiltre-docs,"rectangles, icons","github, electron, react, redux, sentry, matomo",https://github.com/SocialGouv/archifiltre-docs/,1344
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0069,0.0141,88.2939,58.1128,0.5448,0.0080,boxes_and_arrows,layered,entire+,dynamic,OpenIPC_motors,y,"hardware_components, layers, APIs, sub-systems",control_flow,"uni, bi","function_calls, communication",n,y,y,low,n,y,,"maintainability, compatibility",OpenIPC/motors,"rectangles, circles",NA,https://github.com/OpenIPC/motors/,1030
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,28.8280,0.0362,89.7366,48.3508,0.3739,-0.0032,boxes,layered,entire+,static,NLP4L_attic-nlp4l,y,"layers, APIs, DBs, technologies, clients",general,NA,NA,n,n,y,high,n,n,,maintainability,NLP4L/attic-nlp4l,"rectangles, cylinders",lucene,https://github.com/NLP4L/attic-nlp4l/,1469
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1815,0.0155,89.3690,59.3288,0.6936,0.0004,boxes_and_arrows,client-server,part,static,SafeBreach-Labs_hAFL2,y,"servers, packages, VMs","deployment, connectivity",bi,communication,n,y,n,medium,n,y,,maintainability,SafeBreach-Labs/hAFL2,"rectangles, squares",NA,https://github.com/SafeBreach-Labs/hAFL2/,1271
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6973,0.0146,88.9151,60.4930,0.5994,-0.0002,boxes,layered,entire+,static,darrenyao87_tnn-models,y,"technologies, hardware_components, sub-systems, functions",general,NA,NA,n,n,n,medium,n,y,,maintainability,darrenyao87/tnn-models,rectangles,"tensorflow, pytorch, caffe, mxnet",https://github.com/darrenyao87/tnn-models/,1195
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.2018,0.0549,87.5507,38.1094,0.1378,-0.0001,boxes_and_arrows,SOA,entire,"static, dynamic",openshift_configuration-anomaly-detection,n,"services, functions, packages","security, control_flow",uni,data_flow,code_snippet,y,n,medium,n,y,,"functional_suitability, security",openshift/configuration-anomaly-detection,"rectangles, diamonds, squares","pagerduty, tekton",https://github.com/openshift/configuration-anomaly-detection/,1382
Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,29.4610,0.0336,65.6657,49.9046,0.4675,0.0042,boxes_and_arrows,layered,entire,"static, dynamic",FAC10_week4-jajascript,y,packages,control_flow,uni,"communication, function_calls",n,y,n,medium,n,n,,maintainability,FAC10/week4-jajascript,rectangles,NA,https://github.com/FAC10/week4-jajascript/,634
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3551,0.0136,87.4480,57.4593,0.6152,-0.0015,icons_and_arrows,NA,part,static,kubescape_host-scanner,n,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,kubescape/host-scanner,icons,NA,https://github.com/kubescape/host-scanner/,866
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1680,0.0174,87.3382,61.1119,0.6541,0.0002,boxes_and_arrows,layered,entire,"static, dynamic",arkaneshiro_Sound-Zone,y,"layers, DBs",control_flow,"uni, bi",control_flow,text,y,n,high,n,n,,maintainability,arkaneshiro/Sound-Zone,"rectangles, icons","postgresql, cloudinary, react, redux",https://github.com/arkaneshiro/Sound-Zone/,968
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3060,0.0108,89.4816,68.2943,0.8466,-0.0025,boxes_and_arrows,event-driven,entire,dynamic,Enterprise-CMCS_macpro-appian-connector,y,"technologies, DBs",control_flow,"uni, bi","control_flow, communication",text,y,n,medium,n,y,,functional_suitability,Enterprise-CMCS/macpro-appian-connector,"rectangles, squares, icons","aws, oracle",https://github.com/Enterprise-CMCS/macpro-appian-connector/,809
Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.2075,0.0174,89.6799,58.1801,0.6059,-0.0003,"icons_and_arrows, boxes",event-driven,entire,static,shinesolutions_sitechecker-slackbot,y,"technologies, functions, APIs","deployment, connectivity",uni,data_flow,n,y,n,high,n,y,,"maintainability, flexibility",shinesolutions/sitechecker-slackbot,"rectangles, squares, 3d, icons","aws, slack",https://github.com/shinesolutions/sitechecker-slackbot/,797
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8613,0.0114,89.2714,57.6711,0.5760,0.0054,boxes_and_arrows,client-server,entire,static,lowes_auditor,y,"DBs, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,y,,maintainability,lowes/auditor,"squares, icons, cylinders",NA,https://github.com/lowes/auditor/,976
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.5652,0.0591,9.4102,29.3465,0.0302,0.0001,icons_and_arrows,microservices,entire,dynamic,aws-solutions_iot-device-simulator,y,technologies,"deployment, connectivity","uni, bi",control_flow,n,y,n,high,n,n,,"maintainability, interaction_capability",aws-solutions/iot-device-simulator,"squares, icons",aws,https://github.com/aws-solutions/iot-device-simulator/,649
Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5010,0.0150,88.8723,60.4590,0.6805,-0.0001,boxes_and_arrows,NA,entire+,"static, dynamic",KuangRD_Autonomous-Driving,y,"layers, sub-systems",control_flow,uni,function_calls,n,y,n,low,y,n,ROS duplicate,functional_suitability,KuangRD/Autonomous-Driving,rectangles,ros,https://github.com/KuangRD/Autonomous-Driving/,1358
Does Not Meet Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.2578,0.0137,89.5170,62.1064,0.6453,0.0001,boxes_and_arrows,"layered, SOA",entire+,static,teamgram_teamgram-server,y,"technologies, layers, services, DBs, packages","deployment, connectivity","uni, bi",communication,n,y,n,medium,n,y,,maintainability,teamgram/teamgram-server,rectangles,"apache, mysql, redis, minio",https://github.com/teamgram/teamgram-server/,1254
Does Not Meet Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.3984,0.0170,89.2313,60.1955,0.7101,-0.0001,boxes_and_arrows,"layered, microservices",entire,static,calmato_gran-book,y,"services, APIs, DBs",connectivity,bi,communication,n,y,n,medium,y,y,,maintainability,calmato/gran-book,"rectangles, squares, icons","mysql, firestore, firebase",https://github.com/calmato/gran-book/,1747
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0516,0.0112,88.8859,63.0867,0.7593,0.0024,boxes_and_arrows,rest,entire+,"static, dynamic",lkmSasanga_fas-web-app,y,"sub-systems, DBs, functions","deployment, control_flow",uni,"control_flow, data_flow",n,y,n,low,n,y,,"maintainability, functional_suitability",lkmSasanga/fas-web-app,"rectangles, icons","mongodb, react, nodejs, apache",https://github.com/lkmSasanga/fas-web-app/,917
Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6428,0.0117,88.8813,58.3450,0.5819,-0.0004,boxes_and_arrows,client-server,entire,static,alexprut_earth-defender,y,"servers, clients, network_components",connectivity,bi,communication,n,y,n,high,n,y,,maintainability,alexprut/earth-defender,rectangles,NA,https://github.com/alexprut/earth-defender/,1012
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1085,0.0111,89.9408,61.5600,0.6140,-0.0014,boxes_and_arrows,event-driven,part,dynamic,ShiftLeftSecurity_traceleft,y,"technologies, functions","deployment, control_flow",uni,function_calls,code_snippet,y,y,low,n,y,,"maintainability, functional_suitability",ShiftLeftSecurity/traceleft,"rectangles, squares, cylinders",linux,https://github.com/ShiftLeftSecurity/traceleft/,1280
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,boxes_and_arrows,NA,part,static,nasa_cFS,y,packages,general,uni,dependencies,n,y,n,medium,n,n,,maintainability,nasa/cFS,rectangles,NA,https://github.com/nasa/cFS/,871
Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,34.7690,0.0183,89.2032,60.6479,0.6743,-0.0031,boxes_and_arrows,"layered, P2P",entire+,static,0xMelkor_ethereum-node,y,"DBs, servers, technologies","deployment, connectivity",uni,communication,n,y,y,medium,n,y,,"maintainability, performance_efficiency",0xMelkor/ethereum-node,"rectangles, circles","influxdb, nginx, grafana, geth, lighthouse, ethereum",https://github.com/0xMelkor/ethereum-node/,1070
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.6450,0.0586,8.2523,23.6856,0.0062,-0.0002,icons_and_arrows,publish-subscribe,entire,dynamic,sfujiwara_terraform-google-ai-platform-notification,y,"technologies, functions",data_flow,uni,data_flow,n,y,n,high,n,n,,maintainability,sfujiwara/terraform-google-ai-platform-notification,"rectangles, icons",google,https://github.com/sfujiwara/terraform-google-ai-platform-notification/,861
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7052,0.0146,89.8740,62.4436,0.7136,0.0008,boxes_and_arrows,client-server,entire+,static,allegroai_clearml-agent,n,"sub-systems, functions",deployment,"uni, bi",function_calls,n,y,n,medium,n,y,,"interaction_capability, functional_suitability",allegroai/clearml-agent,"rectangles, icons",NA,https://github.com/allegroai/clearml-agent/,1155
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.4229,0.0477,50.5508,43.4516,0.1761,-0.0029,boxes,layered,entire+,static,ParaStation_psmpi,y,"layers, APIs, hardware_components, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,ParaStation/psmpi,rectangles,NA,https://github.com/ParaStation/psmpi/,1184
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8414,0.0144,87.3585,58.8947,0.4751,-0.0024,boxes,NA,part,static,andrempmattos_harsh-payload,n,packages,scheduling,NA,NA,text,n,n,low,n,y,,maintainability,andrempmattos/harsh-payload,rectangles,NA,https://github.com/andrempmattos/harsh-payload/,1333
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2933,0.0172,89.1167,56.6006,0.4221,0.0011,boxes_and_arrows,NA,entire,static,abel-gr_warehouse-robot,y,packages,general,"uni, bi",dependencies,text,y,n,medium,n,n,,functional_suitability,abel-gr/warehouse-robot,rectangles,NA,https://github.com/abel-gr/warehouse-robot/,1156
Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.8973,0.0127,89.9078,59.8459,0.4877,-0.0003,boxes,layered,entire,static,OAID_Tengine,y,"technologies, hardware_components, packages",general,NA,NA,n,n,n,medium,y,y,,maintainability,OAID/Tengine,rectangles,"tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda",https://github.com/OAID/Tengine/,1190
Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.5238,0.0106,89.6166,60.0056,0.6128,0.0011,boxes_and_arrows,client-server,entire,dynamic,de1ux_statlord,n,"servers, functions",control_flow,uni,control_flow,text,y,n,high,n,n,,"functional_suitability, interaction_capability",de1ux/statlord,"rectangles, icons, squares",NA,https://github.com/de1ux/statlord/,1082
